opcode,mnemonic,length,cycles,flags,format
354,"BIT 4,D",1,4,"Z 0 1 -","BIT 4,D"
355,"BIT 4,E",1,4,"Z 0 1 -","BIT 4,E"
356,"BIT 4,H",1,4,"Z 0 1 -","BIT 4,H"
357,"BIT 4,L",1,4,"Z 0 1 -","BIT 4,L"
358,"BIT 4,(HL)",1,12,"Z 0 1 -","BIT 4,(HL)"
359,"BIT 4,A",1,4,"Z 0 1 -","BIT 4,A"
360,"BIT 5,B",1,4,"Z 0 1 -","BIT 5,B"
361,"BIT 5,C",1,4,"Z 0 1 -","BIT 5,C"
362,"BIT 5,D",1,4,"Z 0 1 -","BIT 5,D"
363,"BIT 5,E",1,4,"Z 0 1 -","BIT 5,E"
364,"BIT 5,H",1,4,"Z 0 1 -","BIT 5,H"
365,"BIT 5,L",1,4,"Z 0 1 -","BIT 5,L"
366,"BIT 5,(HL)",1,12,"Z 0 1 -","BIT 5,(HL)"
367,"BIT 5,A",1,4,"Z 0 1 -","BIT 5,A"
368,"BIT 6,B",1,4,"Z 0 1 -","BIT 6,B"
369,"BIT 6,C",1,4,"Z 0 1 -","BIT 6,C"
370,"BIT 6,D",1,4,"Z 0 1 -","BIT 6,D"
371,"BIT 6,E",1,4,"Z 0 1 -","BIT 6,E"
372,"BIT 6,H",1,4,"Z 0 1 -","BIT 6,H"
373,"BIT 6,L",1,4,"Z 0 1 -","BIT 6,L"
374,"BIT 6,(HL)",1,12,"Z 0 1 -","BIT 6,(HL)"
375,"BIT 6,A",1,4,"Z 0 1 -","BIT 6,A"
376,"BIT 7,B",1,4,"Z 0 1 -","BIT 7,B"
377,"BIT 7,C",1,4,"Z 0 1 -","BIT 7,C"
378,"BIT 7,D",1,4,"Z 0 1 -","BIT 7,D"
379,"BIT 7,E",1,4,"Z 0 1 -","BIT 7,E"
380,"BIT 7,H",1,4,"Z 0 1 -","BIT 7,H"
381,"BIT 7,L",1,4,"Z 0 1 -","BIT 7,L"
382,"BIT 7,(HL)",1,12,"Z 0 1 -","BIT 7,(HL)"
383,"BIT 7,A",1,4,"Z 0 1 -","BIT 7,A"
384,"RES 0,B",1,4,"- - - -","RES 0,B"
385,"RES 0,C",1,4,"- - - -","RES 0,C"
386,"RES 0,D",1,4,"- - - -","RES 0,D"
387,"RES 0,E",1,4,"- - - -","RES 0,E"
388,"RES 0,H",1,4,"- - - -","RES 0,H"
389,"RES 0,L",1,4,"- - - -","RES 0,L"
390,"RES 0,(HL)",1,12,"- - - -","RES 0,(HL)"
391,"RES 0,A",1,4,"- - - -","RES 0,A"
392,"RES 1,B",1,4,"- - - -","RES 1,B"
393,"RES 1,C",1,4,"- - - -","RES 1,C"
394,"RES 1,D",1,4,"- - - -","RES 1,D"
395,"RES 1,E",1,4,"- - - -","RES 1,E"
396,"RES 1,H",1,4,"- - - -","RES 1,H"
397,"RES 1,L",1,4,"- - - -","RES 1,L"
